FirstName,LastName,Name,Team,Position,Salary,Rank,Stdev,Matchup,Value
Peyton,Manning,Peyton Manning,Den,QB,20208,2.06,0.986825993,@NYG,9808.992701
Aaron,Rodgers,Aaron Rodgers,GB,QB,18451,1.79,1.137551992,Was,10310.85294
Drew,Brees,Drew Brees,NO,QB,17640,2.74,1.075319409,@TB,6445.384615
LeSean,McCoy,LeSean McCoy,Phi,RB,16664,2.28,1.269182473,SD,7307.800664
Adrian,Peterson,Adrian Peterson,Min,RB,16412,1.80,1.221272275,@Chi,9102.453782
Andrew,Luck,Andrew Luck,Ind,QB,16104,9.50,3.151856024,Mia,1694.487342
Eli,Manning,Eli Manning,NYG,QB,15948,11.43,3.447317175,Den,1395.45
Colin,Kaepernick,Colin Kaepernick,SF,QB,15785,8.90,2.755349306,@Sea,1773.146115
Matthew,Stafford,Matthew Stafford,Det,QB,15615,8.56,2.966868133,@Ari,1823.349429
Larry,Fitzgerald,Larry Fitzgerald,Ari,WR,15292,6.05,3.190572373,Det,2529.50376
Robert,Griffin III,Robert Griffin III,Was,QB,15250,9.41,3.05126085,@GB,1620.007987
Matt,Ryan,Matt Ryan,Atl,QB,15212,5.93,2.278356777,StL,2564.253485
Michael,Vick,Michael Vick,Phi,QB,15012,7.65,3.112418707,SD,1963.221239
Cam,Newton,Cam Newton,Car,QB,14945,6.97,3.393802068,@Buf,2144.212513
Demaryius,Thomas,Demaryius Thomas,Den,WR,14702,4.18,2.69347748,@NYG,3515.695652
Jamaal,Charles,Jamaal Charles,KC,RB,14414,4.86,2.299975546,Dal,2968.24961
Tony,Romo,Tony Romo,Dal,QB,14390,11.64,2.435138587,@KC,1236.350129
Victor,Cruz,Victor Cruz,NYG,WR,14339,10.11,4.005011496,Den,1417.788765
Brandon,Marshall,Brandon Marshall,Chi,WR,14338,3.98,2.374054352,Min,3598.129277
Reggie,Bush,Reggie Bush,Det,RB,14306,10.92,3.958193777,@Ari,1310.473282
A.J.,Green,A.J. Green,Cin,WR,14260,4.67,2.864347755,Pit,3050.761751
Doug,Martin,Doug Martin,TB,RB,14260,3.09,1.810970548,NO,4613.529412
Andre,Johnson,Andre Johnson,Hou,WR,14229,8.03,3.638888013,Ten,1771.913208
Calvin,Johnson,Calvin Johnson,Det,WR,14216,1.77,1.866206038,@Ari,8053.699572
Matt,Schaub,Matt Schaub,Hou,QB,14190,18.60,3.677409115,Ten,763.091133
Wes,Welker,Wes Welker,Den,WR,14184,14.95,4.499687521,@NYG,948.9548908
Russell,Wilson,Russell Wilson,Sea,QB,14149,13.78,2.959217398,SF,1026.632297
Randall,Cobb,Randall Cobb,GB,WR,14139,11.09,4.464429356,Was,1274.827869
Philip,Rivers,Philip Rivers,SD,QB,14133,21.80,3.214971333,@Phi,648.4432803
Carson,Palmer,Carson Palmer,Ari,QB,14108,16.95,3.436460387,Det,832.4596273
Matt,Forte,Matt Forte,Chi,RB,14070,8.66,4.01102561,Min,1624.88189
Terrelle,Pryor,Terrelle Pryor,Oak,QB,14036,16.58,4.134337388,Jax,846.7787934
Vincent,Jackson,Vincent Jackson,TB,WR,13942,8.58,3.366595409,NO,1624.31068
Ray,Rice,Ray Rice,Bal,RB,13538,7.79,2.820461769,Cle,1738.342412
Jay,Cutler,Jay Cutler,Chi,QB,13433,17.93,2.892030763,Min,749.0939203
Sam,Bradford,Sam Bradford,StL,QB,13360,20.16,3.702313685,@Atl,662.6883756
Reggie,Wayne,Reggie Wayne,Ind,WR,13258,13.11,3.040777352,Mia,1011.593063
Julio,Jones,Julio Jones,Atl,WR,13204,5.41,2.891876149,StL,2441.07563
C.J.,Spiller,C.J. Spiller,Buf,RB,12822,8.33,3.556186813,Car,1538.64
Joe,Flacco,Joe Flacco,Bal,QB,12750,20.99,3.59185993,Cle,607.3619632
Jimmy,Graham,Jimmy Graham,NO,TE,12706,1.06,0.268485533,@TB,11979.94285
Jordy,Nelson,Jordy Nelson,GB,WR,12678,14.05,4.47190495,Was,902.6407764
Steven,Jackson,Steven Jackson,Atl,RB,12601,10.61,3.675569895,StL,1187.246253
Arian,Foster,Arian Foster,Hou,RB,12592,8.70,3.799399148,Ten,1446.600522
Josh,Freeman,Josh Freeman,TB,QB,12569,19.40,3.84291556,NO,647.8865979
DeSean,Jackson,DeSean Jackson,Phi,WR,12046,15.95,4.61111042,SD,755.3786222
Marshawn,Lynch,Marshawn Lynch,Sea,RB,12040,12.62,4.444148865,SF,953.9495798
Darren,McFadden,Darren McFadden,Oak,RB,11921,16.73,3.921755384,Jax,712.6684783
Jason,Witten,Jason Witten,Dal,TE,11874,2.99,1.276217257,@KC,3968.020254
Andy,Dalton,Andy Dalton,Cin,QB,11827,21.77,3.397982209,Pit,543.2292948
Dez,Bryant,Dez Bryant,Dal,WR,11808,9.55,4.783753497,@KC,1237.028571
DeMarco,Murray,DeMarco Murray,Dal,RB,11771,15.14,3.963417425,@KC,777.6636637
Jared,Cook,Jared Cook,StL,TE,11684,5.59,2.662746775,@Atl,2089.821138
Steve,Smith,Steve Smith,Car,WR,11675,21.37,5.450056023,@Buf,546.2956399
E.J.,Manuel,E.J. Manuel,Buf,QB,11673,25.31,3.800108939,Car,461.2554593
Alex,Smith,Alex Smith,KC,QB,11628,23.12,3.561795739,Dal,503.0136986
Ryan,Tannehill,Ryan Tannehill,Mia,QB,11430,24.40,3.401960219,@Ind,468.442623
Anquan,Boldin,Anquan Boldin,SF,WR,11398,23.49,6.221293118,@Sea,485.1776847
Trent,Richardson,Trent Richardson,Cle,RB,11347,9.45,3.477883356,@Bal,1201.125902
Pierre,Garcon,Pierre Garcon,Was,WR,11338,17.60,5.744377816,@GB,644.2600086
Ben,Roethlisberger,Ben Roethlisberger,Pit,QB,11156,23.28,3.345960616,@Cin,479.1159218
Alfred,Morris,Alfred Morris,Was,RB,11133,11.12,3.775981315,@GB,1001.059946
Darren,Sproles,Darren Sproles,NO,RB,11107,21.45,3.398670944,@TB,517.6991525
Hakeem,Nicks,Hakeem Nicks,NYG,WR,10914,18.43,4.78348355,Den,592.1282368
Marques,Colston,Marques Colston,NO,WR,10822,18.19,6.764583097,@TB,594.9620991
Vernon,Davis,Vernon Davis,SF,TE,10764,4.48,2.154860289,@Sea,2404.142132
Brandon,Weeden,Brandon Weeden,Cle,QB,10679,27.81,2.998849752,@Bal,383.9559812
Jordan,Cameron,Jordan Cameron,Cle,TE,10660,6.70,2.59644102,@Bal,1591.764706
Maurice,Jones-Drew,Maurice Jones-Drew,Jax,RB,10604,13.95,3.889212731,@Oak,760.308528
Mike,Williams,Mike Williams,TB,WR,10243,28.20,6.04495612,NO,363.1684126
Eddie,Lacy,Eddie Lacy,GB,RB,10212,17.89,5.026667863,Was,570.9377382
Frank,Gore,Frank Gore,SF,RB,10103,19.79,3.245113583,@Sea,510.5650842
Jermichael,Finley,Jermichael Finley,GB,TE,10017,8.83,2.910708199,Was,1134
Julius,Thomas,Julius Thomas,Den,TE,9945,7.73,2.954428902,@NYG,1287
Marlon,Brown,Marlon Brown,Bal,WR,9728,48.56,12.29894842,Cle,200.314489
Tony,Gonzalez,Tony Gonzalez,Atl,TE,9679,3.82,1.866036887,StL,2534.976191
Dwayne,Bowe,Dwayne Bowe,KC,WR,9635,21.58,5.320118572,Dal,446.4092665
Antonio,Brown,Antonio Brown,Pit,WR,9562,23.91,5.353354295,@Cin,399.9315589
Cecil,Shorts,Cecil Shorts,Jax,WR,9484,24.52,6.583342051,@Oak,386.7432809
Owen,Daniels,Owen Daniels,Hou,TE,9430,9.13,2.532830801,Ten,1032.995851
Miles,Austin,Miles Austin,Dal,WR,9425,27.20,5.303998829,@KC,346.449457
Chad,Henne,Chad Henne,Jax,QB,9380,27.85,3.036665253,@Oak,336.8183716
Andre,Roberts,Andre Roberts,Ari,WR,9262,45.22,9.819414363,Det,204.8265377
Brian,Hartline,Brian Hartline,Mia,WR,9238,37.60,7.267704773,@Ind,245.6715387
Steve,Johnson,Steve Johnson,Buf,WR,9199,29.71,4.599951092,Car,309.6042836
Kyle,Orton,Kyle Orton,Dal,QB,9163,37.33,1.885618083,@KC,245.4375
Jake,Locker,Jake Locker,Ten,QB,9156,29.88,1.610182909,@Hou,306.3951584
Brandon,Myers,Brandon Myers,NYG,TE,9118,12.14,3.702523151,Den,751.2958799
Christian,Ponder,Christian Ponder,Min,QB,8983,30.83,1.827380494,@Chi,291.4090268
