
date, F Fund, C Fund, S Fund, I Fund, 
2014-06-19, 16.326800, 25.568500, 35.473100, 27.116800, 
2014-06-18, 16.321100, 25.532400, 35.430400, 26.941600, 
2014-06-17, 16.292000, 25.336500, 35.236900, 26.698100, 
2014-06-16, 16.334300, 25.280900, 34.979000, 26.712900, 
2014-06-13, 16.323700, 25.259700, 34.916500, 26.768900, 
2014-06-12, 16.338800, 25.180300, 34.806000, 26.829000, 
2014-06-11, 16.298200, 25.352900, 35.029700, 26.800700, 
2014-06-10, 16.297400, 25.439900, 35.145500, 26.831800, 
2014-06-09, 16.314100, 25.445800, 35.218900, 26.852100, 
2014-06-06, 16.322900, 25.420800, 35.059600, 26.838200, 
2014-06-05, 16.330300, 25.300100, 34.817900, 26.677400, 
2014-06-04, 16.309500, 25.134400, 34.380400, 26.609000, 
2014-06-03, 16.313500, 25.082800, 34.221500, 26.601900, 
2014-06-02, 16.353200, 25.090700, 34.241300, 26.649900, 
2014-05-30, 16.406100, 25.069800, 34.239000, 26.595900, 
2014-05-29, 16.410500, 25.023600, 34.342800, 26.584600, 
2014-05-28, 16.424400, 24.887100, 34.188900, 26.504900, 
2014-05-27, 16.363000, 24.910600, 34.293400, 26.509900, 
2014-05-23, 16.341300, 24.761900, 33.958300, 26.337800, 
2014-05-22, 16.324900, 24.656900, 33.683400, 26.281000, 
2014-05-21, 16.336600, 24.595300, 33.453600, 26.158500, 
2014-05-20, 16.354200, 24.393700, 33.252900, 26.125300, 
2014-05-19, 16.329300, 24.552400, 33.647500, 26.180600, 
2014-05-16, 16.338100, 24.456500, 33.367500, 26.232600, 
2014-05-15, 16.353300, 24.365000, 33.221100, 26.279800, 
2014-05-14, 16.330500, 24.590600, 33.462500, 26.418000, 
2014-05-13, 16.271500, 24.702000, 33.797000, 26.345200, 
2014-05-12, 16.242800, 24.685300, 34.003300, 26.238300, 
2014-05-09, 16.262100, 24.447700, 33.403700, 26.148700, 
2014-05-08, 16.284400, 24.406400, 33.243100, 26.315600, 
2014-05-07, 16.273300, 24.433700, 33.515600, 26.130000, 
2014-05-06, 16.262600, 24.287100, 33.475700, 26.288100, 
2014-05-05, 16.244500, 24.506000, 33.876000, 26.210400, 
2014-05-02, 16.256400, 24.458500, 33.875900, 26.224700, 
2014-05-01, 16.247700, 24.491700, 33.800100, 26.240800, 
2014-04-30, 16.210400, 24.493500, 33.727400, 26.146800, 
2014-04-29, 16.170100, 24.419200, 33.529200, 26.052800, 
2014-04-28, 16.185800, 24.303100, 33.333400, 25.879600, 
2014-04-25, 16.188800, 24.223200, 33.510300, 25.901800, 
2014-04-24, 16.172500, 24.420600, 34.057300, 25.988000, 
2014-04-23, 16.168200, 24.378400, 34.119900, 25.971400, 
2014-04-22, 16.132200, 24.429000, 34.305500, 25.971800, 
2014-04-21, 16.126900, 24.329000, 33.943800, 25.767700, 
2014-04-17, 16.127800, 24.237100, 33.792400, 25.793300, 
2014-04-16, 16.178300, 24.202600, 33.659200, 25.667600, 
2014-04-15, 16.185100, 23.951500, 33.241100, 25.358500, 
